date,store_nbr,family,sales_pred,scenario
2017-01-01,44,FROZEN FOODS,1404.156000870632,no_promo
2017-01-01,40,FROZEN FOODS,207.4962073789228,no_promo
2017-01-01,54,FROZEN FOODS,144.50250246298134,no_promo
2017-01-01,5,FROZEN FOODS,583.9268667422799,no_promo
2017-01-01,31,FROZEN FOODS,614.8744147110275,no_promo
2017-01-01,12,FROZEN FOODS,76.56468284014431,no_promo
2017-01-01,37,FROZEN FOODS,364.94350825390705,no_promo
2017-01-01,34,FROZEN FOODS,335.29703693116267,no_promo
2017-01-02,44,FROZEN FOODS,1135.7898132426953,no_promo
2017-01-02,40,FROZEN FOODS,267.31859943080735,no_promo
2017-01-02,54,FROZEN FOODS,31.651181012215318,no_promo
2017-01-02,5,FROZEN FOODS,352.0874632154533,no_promo
2017-01-02,31,FROZEN FOODS,479.45182521231754,no_promo
2017-01-02,12,FROZEN FOODS,34.17372625256564,no_promo
2017-01-02,37,FROZEN FOODS,320.1478421848789,no_promo
2017-01-02,34,FROZEN FOODS,233.59674868360804,no_promo
2017-01-03,44,FROZEN FOODS,1299.9793273632672,no_promo
2017-01-03,40,FROZEN FOODS,272.72154369540795,no_promo
2017-01-03,54,FROZEN FOODS,51.89464988077458,no_promo
2017-01-03,5,FROZEN FOODS,420.34781297657617,no_promo
2017-01-03,31,FROZEN FOODS,441.51540739076336,no_promo
2017-01-03,12,FROZEN FOODS,22.810160126854612,no_promo
2017-01-03,37,FROZEN FOODS,155.26708575410163,no_promo
2017-01-03,34,FROZEN FOODS,212.59128168367857,no_promo
2017-01-04,44,FROZEN FOODS,1038.5016042138982,no_promo
2017-01-04,40,FROZEN FOODS,246.9950816998824,no_promo
2017-01-04,54,FROZEN FOODS,22.007225620299323,no_promo
2017-01-04,5,FROZEN FOODS,400.94028455035925,no_promo
2017-01-04,31,FROZEN FOODS,519.5904057406037,no_promo
2017-01-04,12,FROZEN FOODS,39.43763919081999,no_promo
2017-01-04,37,FROZEN FOODS,197.91708383173415,no_promo
2017-01-04,34,FROZEN FOODS,233.298433253219,no_promo
2017-01-05,44,FROZEN FOODS,1008.6829664720575,no_promo
2017-01-05,40,FROZEN FOODS,131.52065304936946,no_promo
2017-01-05,54,FROZEN FOODS,42.208050932313,no_promo
2017-01-05,5,FROZEN FOODS,204.20669677668724,no_promo
2017-01-05,31,FROZEN FOODS,559.3151094980839,no_promo
2017-01-05,12,FROZEN FOODS,3.913303819337983,no_promo
2017-01-05,37,FROZEN FOODS,206.46768322087485,no_promo
2017-01-05,34,FROZEN FOODS,155.63056834484587,no_promo
2017-01-06,44,FROZEN FOODS,1248.9824490537035,no_promo
2017-01-06,40,FROZEN FOODS,179.75237173888092,no_promo
2017-01-06,54,FROZEN FOODS,51.66092448144718,no_promo
2017-01-06,5,FROZEN FOODS,298.02280005659225,no_promo
2017-01-06,31,FROZEN FOODS,554.6151305425138,no_promo
2017-01-06,12,FROZEN FOODS,14.862842274648699,no_promo
2017-01-06,37,FROZEN FOODS,144.12953563688507,no_promo
2017-01-06,34,FROZEN FOODS,218.08645317884475,no_promo
2017-01-07,44,FROZEN FOODS,1321.9284323682696,no_promo
2017-01-07,40,FROZEN FOODS,136.3204475433468,no_promo
2017-01-07,54,FROZEN FOODS,37.413270000594935,no_promo
